2025-01-21 08:15:10;user123;LOGIN
2025-01-21 08:16:44;user123;ERROR
2025-01-21 08:20:01;user123;LOGOUT
2025-01-21 09:01:55;user999;LOGIN
2025-01-21 09:05:12;user999;ERROR
2025-01-21 09:07:44;user999;LOGOUT
2025-01-21 10:15:33;user777;LOGIN
2025-01-21 10:20:18;user777;LOGIN 
2025-01-21 10:23:55;user777;LOGOUT
2025-01-21 11:05:33;user888;LOGIN
2025-01-21 11:06:05;user888;LOGOUT
2025-01-21 11:06:15;user888;LOGOUT
2025-01-21 12:00:01;user555;LOGIN
2025-01-21 12:05:10;user555;ERROR
2025-01-21 12:06:42;user555;LOGIN 
2025-01-21 12:08:33;user555;LOGOUT
2025-01-21 12:10:10;user555;LOGOUT 
2025-01-21 12:15:21;user999;LOGIN
2025-01-21 12:20:10;user999;LOGOUT
2025-01-21 12:21:50;user111;ERROR
2025-01-21 12:22:20;user111;LOGIN
2025-01-21 12:25:55;user111;LOGOUT
INVALID_LINE_SHOULD_BE_IGNORED
2025-01-21 13:10:10;user200;LOGIN
2025-01-21 13:20:44;user200;LOGOUT
2025-01-21 14:00:05;user123;LOGIN
2025-01-21 14:05:33;user123;ERROR
2025-01-21 14:07:55;user123;LOGOUT
2025-01-21 14:20:10;user888;LOGIN
2025-01-21 14:30:12;user888;LOGIN   
2025-01-21 14:33:05;user888;ERROR
2025-01-21 14:40:01;user888;LOGOUT
2025-01-21 15:00:00;user555;LOGIN
2025-01-21 15:10:12;user555;LOGOUT
